method,dataset,valid_auc,accuracy,f1,auc,params
FastGTC,ia-contact,0.8839,0.8390,0.8594,0.8980,"best_epoch=0,trainable=True,opt=Adam,lr=0.0100,agg_type=gcn,norm=False,n_neg=1,n_layers=2,n_hidden=128,batch_size=256,dropout=0.2,time_encoding=cosine,proj=True"
FastGTC,ia-contact,0.8781,0.8137,0.8403,0.8905,"best_epoch=0,trainable=True,opt=Adam,lr=0.0100,agg_type=gcn,norm=False,n_neg=1,n_layers=2,n_hidden=128,batch_size=256,dropout=0.2,time_encoding=cosine,proj=True"
